,l,psi
237,104,0.00038189825811559783
238,159,0.0003228865045772222
239,481,0.00065755519511497
240,1031,0.0007458308403589884
241,34,0.0005928491130157465
242,222,0.0005506441009587165
243,464,0.0004253354357798165
244,141,0.00043888275318015976
245,141,0.00043888275318015976
246,105,0.000482245620979713
247,165,0.0006001607476635515
248,98,0.0006041428005545652
249,15,0.0006186354468297554
250,168,0.0006093267112509834
251,97,0.0007050832920669505
252,94,0.0006287053695264513
253,191,0.0007451708370130507
254,453,0.0006119368602315124
255,170,0.0006284682399213372
256,306,0.0006133355326993985
257,306,0.0006133355326993985
258,89,0.0007312524531668153
259,89,0.0007312524531668153
260,89,0.0007312524531668153
261,84,0.0008136547005156683
262,292,0.0007061469102215312
263,81,0.00039046364447971424
264,83,0.0003903861945849449
265,2,0.0002353463307338532
266,2,0.0002353463307338532
267,27,0.0005250776902363619
268,148,0.0004934934962554198
269,487,0.0005834307237532182
270,247,0.00040786200839270026
271,442,0.000431295154185022
272,442,0.000431295154185022
273,221,0.00044062068290773895
274,34,0.0003808776161052422
275,34,0.0003808776161052422
276,1281,0.00043562609697721835
277,146,0.0005135296668637887
278,344,0.000472151392111369
279,704,0.0003238862107623318
280,284,0.0005165484247374563
281,33,0.0005294711452207715
282,635,0.0005496814292430654
283,91,0.0005293241502328809
284,558,0.0004124531161204774
285,189,0.00071287270585926
286,189,0.00071287270585926
287,59,0.0008215866388308978
288,59,0.0008215866388308978
289,136,0.0006174873717442777
290,979,0.0005781553875580653
291,87,0.0005840188361257064
292,87,0.0005840188361257064
293,630,0.000555415239887112
294,158,0.0005540322898208308
295,158,0.0005540322898208308
296,524,0.0005347643481565944
297,16,0.0005860816693290734
298,16,0.0005860816693290734
299,642,0.0004968058635594813
300,828,0.0004973771702992243
301,1354,0.0004726124713757266
302,532,0.0005094988606152678
303,66,0.0003603647923703557
304,66,0.0003603647923703557
305,441,0.00039845742744947806
306,166,0.000843304544560299
307,166,0.000843304544560299
308,342,0.0008289532005414813
309,177,0.0008423930431364842
310,128,0.0011500722748815167
311,128,0.0011500722748815167
312,489,0.0011104902278577559
313,87,0.0011041479131555466
314,492,0.0010615268776210445
315,332,0.0010318720480061944
316,38,0.0009669950189280732
317,244,0.0008885181569699337
318,46,0.0008359122038622336
319,136,0.00039412352012628256
320,12,0.00046615681182580907
321,97,0.0006108448053877388
322,1034,0.0007473911546130144
323,955,0.0006778674577818348
324,325,0.0007192288619854722
325,321,0.0006448625133223525
326,237,0.0002554185796620104
327,237,0.0002554185796620104
328,597,0.0005912701708030574
329,893,0.0006770801432112366
330,688,0.0006900668038922156
331,22,0.0007627623228896428
332,22,0.0007627623228896428
333,387,0.0007224451718494271
334,45,0.0006144712792434047
335,45,0.0006144712792434047
336,36,0.0005226371064168992
337,747,0.0003824148134363078
338,263,0.0004128328948650492
339,185,0.0005068477172312224
340,6,0.00041815870477713375
341,6,0.00041815870477713375
342,262,0.00040772714870395636
343,73,0.0004092302193983917
344,66,0.0007386155374528114
345,1286,0.0006547674995569733
346,169,0.0006977862130002951
347,301,0.0006888445781962916
348,564,0.00041197576675501703
349,249,0.000516515172211923
350,187,0.0005207825660155099
351,19,0.0004938247330072862
352,944,0.0005207079678362572
353,188,0.0005410416175893207
354,85,0.0005465673772930094
355,270,0.0005038471275559883
356,311,0.00042543516632722337
357,525,0.0005088262232779098
358,544,0.0006188619119878604
359,10,0.0007503832167832168
360,136,0.0005844694159431728
361,45,0.0004213549029367845
362,36,0.00020862016739736948
363,8,0.00033271642685851315
