obs_start,obs_end,length,iteration,ind_idx,distribution
8609682,8609682,1,0,71515,geom
7172877,7172877,1,0,104592,geom
6097684,6097684,1,0,104592,geom
3711935,3711935,1,0,30279,geom
5583361,5583361,1,0,30279,geom
2435802,2435802,1,0,30279,geom
2455972,2455972,1,0,114777,geom
7043568,7043568,1,0,114777,geom
3216731,3216731,1,0,44661,geom
8742485,8742485,1,0,20749,geom
129278,129278,1,0,119855,geom
576087,576087,1,0,121810,geom
945671,945671,1,0,88912,geom
9054710,9054710,1,0,88912,geom
9377042,9377042,1,0,112849,geom
5968307,5968307,1,0,42829,geom
2656802,2656802,1,0,67432,geom
3594605,3594605,1,0,76455,geom
4103357,4103357,1,0,92400,geom
1999524,1999524,1,0,51080,geom
4813184,4813184,1,0,102677,geom
3031053,3031053,1,0,78423,geom
4958288,4958288,1,0,78423,geom
1028683,1028683,1,0,78423,geom
2031166,2031166,1,0,78423,geom
6569518,6569518,1,0,71776,geom
7234676,7234676,1,0,119941,geom
5996960,5996960,1,0,119941,geom
6186880,6186880,1,0,45460,geom
6517066,6517066,1,0,84861,geom
843797,843797,1,0,47327,geom
5078594,5078594,1,0,79737,geom
6287056,6287056,1,0,73629,geom
6400608,6400608,1,0,93826,geom
31494,31494,1,0,118630,geom
6614922,6614922,1,0,118630,geom
161489,161489,1,0,83096,geom
3933225,3933225,1,0,89598,geom
7232541,7232541,1,0,29672,geom
8729837,8729837,1,0,29672,geom
9360572,9360572,1,0,29672,geom
5644783,5644783,1,0,29672,geom
1355372,1355396,25,0,13818,geom
5572436,5572436,1,0,13818,geom
480322,480322,1,0,56896,geom
2028916,2028916,1,0,102747,geom
4831118,4831118,1,0,102747,geom
6215905,6215905,1,0,54411,geom
3540210,3540210,1,0,54411,geom
5487757,5487757,1,0,17817,geom
3923596,3923596,1,0,43468,geom
8593945,8593945,1,0,107855,geom
8949859,8949859,1,0,107855,geom
3014866,3014866,1,0,107855,geom
8885582,8885582,1,0,107855,geom
9309144,9309144,1,0,53375,geom
1526621,1526621,1,0,67417,geom
9763895,9763895,1,0,119309,geom
7370864,7370864,1,0,69270,geom
5232542,5232542,1,0,87203,geom
3633274,3633274,1,0,48784,geom
8345768,8345768,1,0,57122,geom
251236,251236,1,0,98714,geom
6817811,6817811,1,0,117155,geom
5798618,5798618,1,0,117155,geom
6406479,6406479,1,0,34523,geom
9902555,9902555,1,0,82231,geom
8472384,8472384,1,0,114882,geom
9803635,9803635,1,0,114882,geom
8637689,8637689,1,0,114882,geom
2435802,2435802,1,0,45253,geom
5743764,5743764,1,0,84919,geom
13395,13395,1,0,45476,geom
3662530,3662530,1,0,45476,geom
3938624,3938624,1,0,40071,geom
9882840,9882840,1,0,40071,geom
702559,702559,1,0,27912,geom
5002652,5002652,1,0,27912,geom
3733149,3733149,1,0,63684,geom
636959,636959,1,0,63684,geom
6554942,6554942,1,0,9751,geom
9541972,9541972,1,0,9751,geom
2547810,2547810,1,0,17683,geom
640862,640862,1,0,25588,geom
8775585,8775585,1,0,25588,geom
8596300,8596300,1,0,37646,geom
166617,166617,1,0,37646,geom
3352135,3352135,1,0,88711,geom
4416316,4416316,1,0,93011,geom
2088483,2088483,1,0,93011,geom
6277586,6277586,1,0,76513,geom
2761962,2761962,1,0,109096,geom
2509265,2509265,1,0,109096,geom
7952605,7952605,1,0,34410,geom
7411428,7411428,1,0,114927,geom
2415869,2415869,1,0,114927,geom
2197823,2197823,1,0,48536,geom
5277581,5277581,1,0,14610,geom
9142626,9142647,22,0,100005,geom
289809,289809,1,0,16402,geom
929839,929839,1,0,16402,geom
4935330,4935330,1,0,16402,geom
1452096,1452096,1,0,16402,geom
4594556,4594556,1,0,10779,geom
6480926,6480926,1,0,10779,geom
3893220,3893220,1,0,22750,geom
1315633,1315633,1,0,22750,geom
5515502,5515502,1,0,91005,geom
7003492,7003492,1,0,91005,geom
1007185,1007185,1,0,279,geom
3011023,3011023,1,0,279,geom
2287312,2287312,1,0,104022,geom
9631814,9631814,1,0,116705,geom
7333895,7333895,1,0,97710,geom
4909174,4909174,1,0,37551,geom
5106521,5106521,1,0,37551,geom
2033731,2033739,9,0,112322,geom
9260027,9260027,1,0,123102,geom
8105424,8105424,1,0,100717,geom
4295189,4295189,1,0,91914,geom
3461600,3461600,1,0,91914,geom
4230509,4230509,1,0,6806,geom
91355,91355,1,0,6806,geom
5166410,5166410,1,0,121036,geom
1660942,1660942,1,0,120735,geom
2404854,2404854,1,0,62330,geom
8771163,8771163,1,0,25824,geom
8206483,8206483,1,0,66899,geom
682002,682002,1,0,14867,geom
6561926,6561926,1,0,14867,geom
2169519,2169519,1,0,96531,geom
9629208,9629208,1,0,8192,geom
1383025,1383025,1,0,8192,geom
2966963,2966963,1,0,814,geom
3762261,3762261,1,0,37086,geom
8474192,8474192,1,0,115729,geom
2435379,2435379,1,0,115729,geom
4233579,4233579,1,0,115729,geom
6527694,6527694,1,0,69556,geom
4610311,4610311,1,0,109094,geom
2159186,2159186,1,0,109094,geom
1963279,1963279,1,0,109094,geom
7229320,7229320,1,0,79911,geom
3905989,3905989,1,0,79911,geom
3574945,3574945,1,0,79911,geom
2874732,2874732,1,0,88118,geom
728775,728775,1,0,90144,geom
6122274,6122274,1,0,102147,geom
3351424,3351424,1,0,109806,geom
9817844,9817844,1,0,71665,geom
4123904,4123904,1,0,119602,geom
1540629,1540629,1,0,58519,geom
8559659,8559659,1,0,58519,geom
4278721,4278721,1,0,6102,geom
7049106,7049106,1,0,6102,geom
1912439,1912439,1,0,6102,geom
4235588,4235588,1,0,105942,geom
1837533,1837533,1,0,105942,geom
4343674,4343674,1,0,36190,geom
8135022,8135022,1,0,22400,geom
1059761,1059761,1,0,22400,geom
9183970,9183970,1,0,22400,geom
7964305,7964305,1,0,22400,geom
1808119,1808119,1,0,22400,geom
3858816,3858816,1,0,93624,geom
8129872,8129872,1,0,93624,geom
5640059,5640059,1,0,57108,geom
8822068,8822068,1,0,81092,geom
8593945,8593945,1,0,94139,geom
2130843,2130843,1,0,83433,geom
164062,164062,1,0,105635,geom
8419605,8419605,1,0,105635,geom
8563519,8563519,1,0,45164,geom
8187589,8187589,1,0,45164,geom
1880175,1880175,1,0,4692,geom
8407032,8407032,1,0,4692,geom
7767482,7767482,1,0,4692,geom
7765240,7765240,1,0,42086,geom
4973708,4973708,1,0,42086,geom
919071,919071,1,0,8476,geom
3926042,3926042,1,0,116671,geom
590377,590377,1,0,90896,geom
1186794,1186794,1,0,30374,geom
1133831,1133831,1,0,30374,geom
7035830,7035830,1,0,83432,geom
4785508,4785508,1,0,83432,geom
1093321,1093321,1,0,3399,geom
4196965,4196965,1,0,3399,geom
8943176,8943176,1,0,3399,geom
7571766,7571766,1,0,52481,geom
7608848,7608848,1,0,65730,geom
8130619,8130619,1,0,6641,geom
2656925,2656925,1,0,6641,geom
4813184,4813184,1,0,28796,geom
3230656,3230656,1,0,72609,geom
6156797,6156797,1,0,72609,geom
6624599,6624599,1,0,90817,geom
6345247,6345247,1,0,74439,geom
7678230,7678230,1,0,74439,geom
1940267,1940267,1,0,74439,geom
9765577,9765577,1,0,89309,geom
6777453,6777453,1,0,104590,geom
9381610,9381610,1,0,91950,geom
9022937,9022937,1,0,91950,geom
9077201,9077201,1,0,91950,geom
8069883,8069883,1,0,101720,geom
7819616,7819616,1,0,7269,geom
4904018,4904018,1,0,62128,geom
4757604,4757604,1,0,62128,geom
3779595,3779595,1,0,83269,geom
1999128,1999128,1,0,87168,geom
9218266,9218266,1,0,28113,geom
9416544,9416544,1,0,28113,geom
4835598,4835598,1,0,116898,geom
9886681,9886681,1,0,74861,geom
1981996,1981996,1,0,74861,geom
2324834,2324834,1,0,74861,geom
794198,794198,1,0,74861,geom
9083227,9083227,1,0,112321,geom
9077201,9077201,1,0,29172,geom
1403610,1403610,1,0,22046,geom
5392926,5392926,1,0,22046,geom
6913042,6913042,1,0,52027,geom
2069816,2069816,1,0,89727,geom
204673,204673,1,0,15334,geom
7731745,7731745,1,0,15334,geom
2333181,2333181,1,0,48589,geom
3152558,3152558,1,0,47425,geom
3960780,3960780,1,0,11610,geom
8355070,8355070,1,0,110968,geom
2236125,2236125,1,0,110968,geom
7517418,7517418,1,0,124705,geom
6449580,6449580,1,0,124705,geom
7125842,7125842,1,0,102931,geom
7063840,7063840,1,0,36524,geom
7902301,7902301,1,0,33433,geom
7192799,7192799,1,0,33433,geom
4278395,4278395,1,0,13766,geom
5804126,5804162,37,0,83133,geom
3921643,3921643,1,0,83133,geom
2197952,2197952,1,0,105146,geom
9092074,9092074,1,0,9810,geom
3950412,3950412,1,0,9810,geom
9790786,9790786,1,0,88717,geom
4739563,4739563,1,0,116426,geom
8771163,8771163,1,0,2869,geom
5013626,5013626,1,0,48195,geom
7477770,7477770,1,0,48195,geom
4470543,4470543,1,0,48195,geom
7503164,7503164,1,0,64195,geom
5783087,5783087,1,0,93271,geom
8077073,8077073,1,0,91290,geom
1020565,1020565,1,0,91073,geom
5575146,5575146,1,0,14505,geom
1708230,1708230,1,0,16217,geom
1459891,1459891,1,0,16217,geom
6547205,6547205,1,0,16217,geom
8318885,8318885,1,0,45407,geom
8801822,8801822,1,0,45407,geom
9632027,9632027,1,0,99151,geom
3170905,3170905,1,0,52413,geom
7841468,7841468,1,0,114633,geom
9702611,9702611,1,0,90143,geom
5039683,5039683,1,0,122693,geom
5303556,5303565,10,0,122693,geom
7712224,7712224,1,0,39032,geom
9144090,9144090,1,0,120828,geom
6570489,6570489,1,0,5347,geom
4040332,4040332,1,0,5347,geom
3685117,3685117,1,0,70492,geom
1934133,1934133,1,0,14492,geom
7333895,7333895,1,0,14492,geom
6271359,6271359,1,0,31724,geom
4395571,4395571,1,0,13977,geom
9620385,9620385,1,0,30305,geom
8868725,8868725,1,0,26074,geom
4486916,4486916,1,0,99366,geom
8452397,8452397,1,0,99366,geom
4676656,4676656,1,0,52006,geom
3359594,3359594,1,0,52006,geom
4584758,4584758,1,0,123174,geom
3038464,3038464,1,0,123174,geom
469376,469376,1,0,123174,geom
5424880,5424880,1,0,96105,geom
1516303,1516303,1,0,25670,geom
3165326,3165326,1,0,56549,geom
4719857,4719857,1,0,56549,geom
5118259,5118259,1,0,54037,geom
6677648,6677648,1,0,54037,geom
